Parameters,monensinsodiumsalt,artesunate
EC50,0.0149165902213894,0.00276279129053808
H,5.87225658702909,3.1497211103684
Ucinf,1.15249838927448,3.65538742874373
chi2,76.6760070617409,39.9029085704508
good_of_fit,0,0
