Parameters,manidipinedihydrochloride,lumefantrine
EC50,0.0178487492368281,9.23193132802438
H,6.80074305648641,10
Ucinf,11.1292326110733,0
chi2,12157.0248427707,12188.1466146729
good_of_fit,0,0
