Parameters,genz669178,amodiaquine
EC50,0.195159565657013,0.0407192572827585
H,9.99999999999998,3.26816075292198
Ucinf,0,12.9111506976894
chi2,523.539822003643,95.7760399935436
good_of_fit,0,0
