Parameters,torin2,nvpbgt226
EC50,0.000488832276583005,0.000684254693080009
H,6.87494882423336,5.37371981982122
Ucinf,3.07521930329782,4.96941315295938
chi2,600.359977747061,312.908329373087
good_of_fit,0,0
