Parameters,propafenonehydrochloride,mefloquine
EC50,0.034886374378407,1.53726058944509
H,3.63867058913066,3.03298692840844
Ucinf,2.65713642721804,1.55408695748933
chi2,862.469004743411,502.973776960695
good_of_fit,0,0
