Parameters,perhexiline,artesunate
EC50,0.0154858203988219,9.26215443526376
H,8.03609547354326,2.9318897076538
Ucinf,3.09959699596137,0
chi2,247.496442966607,181.6002881252
good_of_fit,0,0
