Parameters,nvpbgt226,artesunate
EC50,0.0118736240598471,0.000656255070091193
H,9.99999999999982,9.99999999999994
Ucinf,13.8507641758659,8.34169248877978
chi2,31811.4500894842,2447.13094128699
good_of_fit,0,0
