Parameters,lidoflazine,lumefantrine
EC50,0.0277418914428274,1.87438229827929
H,9.99999999999997,9.99999999999995
Ucinf,34.0856567767651,91.6618846293936
chi2,16131.0567533541,40649.6212338019
good_of_fit,0,0
