Parameters,clindamycin,chloroquine
EC50,0.0271458869572559,0.031775917331344
H,8.26828839890206,3.75598913930046
Ucinf,0,24.4746543490818
chi2,94.3577566576531,79.0493157633912
good_of_fit,0,0
