Parameters,panobinostatlbh589,artesunate
EC50,0.0166003537758478,0.0793121530863848
H,6.98385924191065,2.30814576193472
Ucinf,1.74986802566774,0
chi2,575.868385972202,16.2887596214888
good_of_fit,0,0
