Parameters,alvespimycinhydrochloride,artesunate
EC50,0.0141619710963036,0.157204472575294
H,6.68933164618026,5.08005000940966
Ucinf,2.14567584080081,3.11548979775896
chi2,255.567316020048,145.854215679007
good_of_fit,0,0
