Parameters,torin2,nanchangmycin
EC50,0.000178592818869792,0.000567361123818943
H,3.75613536419891,10
Ucinf,1.77346820463742,6.50220772464819
chi2,230.969069819474,656.807742045971
good_of_fit,0,0
