Parameters,proguanil,atovaquone
EC50,0.0249999999999997,0.0706523232774151
H,2.97754891223679,5.52285871844672
Ucinf,26.2068374826112,13.1229089344105
chi2,20336.2433660499,40083.8269737435
good_of_fit,0,0
