Parameters,clobetasonebutyrate,ml238
EC50,0.0161257834423503,2.17049393574946
H,1.30164008964213,4.06982726970715
Ucinf,0,7.58851665379037
chi2,560.22232869261,692.488833098271
good_of_fit,0,0
