Parameters,piperaquine,artenimol
EC50,0.000768257837910106,0.0180024552177747
H,5.91021811282919,5.92270793874649
Ucinf,1.52058880801116,1.41452265789287
chi2,227.764379001889,281.47682030513
good_of_fit,0,0
