Parameters,tafenoquine,artemether
EC50,0.0202892765997963,0.17689493075411
H,10,2.58091830255234
Ucinf,0.170384677174645,8.93541916456617
chi2,121.841706653958,34.3716400268607
good_of_fit,0,0
