Parameters,propafenonehydrochloride,artenimol
EC50,0.0011697598591533,1.73648807318173
H,4.5712523609815,2.59634008418649
Ucinf,12.8385494761392,0
chi2,2162.87469356417,3778.70105304395
good_of_fit,0,0
