Parameters,proguanil,artemether
EC50,0.0187357412118751,0.0990512980315981
H,9.99999999999999,5.45215933599741
Ucinf,0,27.7173134629887
chi2,1430.34837138054,590.73980914986
good_of_fit,0,0
