Parameters,gramicidin,artemether
EC50,0.00579352876842432,2.17586050054996e-05
H,4.62023475500033,2.3459080488693
Ucinf,0.928760527329142,0
chi2,155.160839794713,5.61033430108945
good_of_fit,0,0
