Parameters,quisinostathydrochloride,proguanil
EC50,0.105009703560535,0.00512322604815475
H,9.99999999999988,4.00075932107484
Ucinf,48.1834631129093,1.15991735078065
chi2,44.9314855272659,96.2574273948255
good_of_fit,0,0
