Parameters,proguanil,artemether
EC50,0.0143441212744967,0.0809702605068538
H,9.99999999999987,0.670277688427958
Ucinf,6.48702402069929,0
chi2,9518.88488774212,1571.89555460681
good_of_fit,0,0
