Parameters,gsk2126458,artenimol
EC50,0.0030931803243599,0.0274285847339458
H,2.5150678136571,9.99999999999998
Ucinf,0,37.7775750017959
chi2,419.181463869803,521.450432700527
good_of_fit,0,0
