Parameters,pyronaridine,gramicidin
EC50,3.08322193147326e-05,0.0248042391019754
H,1.67216228491687,9.99999999999979
Ucinf,0,1.05998902276304
chi2,7.74826139014822,422.686528578361
good_of_fit,0,0
