Parameters,reserpine,decoquinate
EC50,0.00412132568553491,2.17411854365589
H,1.60651910608486,1.5827836025508
Ucinf,2.60940471307283,0
chi2,33.3953260523362,693.676219273361
good_of_fit,0,0
