Parameters,ml238,nvpbgt226
EC50,0.00293109818895311,0.0350471952909886
H,6.4307857126838,1.46816009544792
Ucinf,46.6710392769434,19.877695192926
chi2,13644.0118395386,13893.306023519
good_of_fit,0,0
