Parameters,piperaquine,artesunate
EC50,0.0217730003500871,0.0576001903214092
H,9.99999999999998,2.15624257647828
Ucinf,43.7573904941713,0
chi2,111245.466044218,12710.2081674491
good_of_fit,0,0
