Parameters,emetine,nvpbgt226
EC50,0.00383241425569128,0.367475440244063
H,9.99999999999999,1.54179091559537
Ucinf,44.865621122081,0
chi2,24717.6799708499,12656.2872455998
good_of_fit,0,0
