Parameters,elactocin,artesunate
EC50,0.00736916523101092,0.237027406963264
H,3.35226982312144,9.99999999997629
Ucinf,9.26503669164114,73.5173489178765
chi2,540.989667365611,649.463334789929
good_of_fit,0,0
