Parameters,genz669178,proguanil
EC50,0.175,0.0506086347662194
H,2.02704960139511,3.25775028093973
Ucinf,14.5478960599745,9.13767057744814
chi2,641.679903886999,364.722182664626
good_of_fit,0,0
