Parameters,gsk2126458,mefloquine
EC50,0.0301958821704613,0.0411182824819422
H,3.35798172624896,9.99999999999804
Ucinf,16.1570498041664,56.9259639261041
chi2,1432.51541059431,2590.9265214128
good_of_fit,0,0
