Parameters,x3methyladenine,lumefantrine
EC50,0.00442694801021138,0.5
H,4.35911855313074,10
Ucinf,2.96338446212814,75.6336323318231
chi2,199.802748897847,125.589589309999
good_of_fit,0,0
