Parameters,azelnidipine,halofantrine
EC50,0.000598989368818404,1.35784234477254
H,2.48650684817496,2.80746497259239
Ucinf,0,5.89924385031317
chi2,115.999393214986,295.163523367847
good_of_fit,0,0
