Parameters,genz669178,nitd609
EC50,0.0014280552178163,0.039457472263463
H,9.99999999999996,9.99999999999998
Ucinf,1.73304138794164,6.68858314708474
chi2,1457.23836653241,1255.41867323449
good_of_fit,0,0
