Parameters,decoquinate,lumefantrine
EC50,0.0135906318859972,0.00739956849406462
H,3.20565143854877,2.73983735592429
Ucinf,0,4.66919455414923
chi2,67.6227167220801,20.2819642360169
good_of_fit,0,0
