Parameters,gramicidin,artesunate
EC50,0.0157833605635527,0.000268187885078253
H,7.79136504100438,9.99999999999998
Ucinf,1.73217872722179,2.11254372195567
chi2,35.6309389750076,153.401810449838
good_of_fit,0,0
