Parameters,rifampicin,lumefantrine
EC50,0.00538425717110596,0.0419416981467264
H,2.28920401040769,1.3791077961865
Ucinf,0,7.66282086095076
chi2,102.252873737596,358.38426856484
good_of_fit,0,0
