Parameters,nanchangmycin,artenimol
EC50,0.0060641208869419,0.00999999999999974
H,9.99999999999992,9.99999999999878
Ucinf,11.9451636586244,84.4425216070048
chi2,27889.7531561948,52585.8039542298
good_of_fit,0,0
