Parameters,piperaquine,artemether
EC50,0.0451011743505677,0.0549751737327198
H,9.99999999999998,5.78889471680873
Ucinf,0,3.47145936233857
chi2,3765.20485556175,1223.48110921374
good_of_fit,0,0
