Parameters,genz669178,methyleneblue
EC50,0.020000529633829,0.0496928398960335
H,5.23359136685353,2.5569350084038
Ucinf,3.1627333643075,4.26193577321181
chi2,269.893048592163,167.26744998971
good_of_fit,0,0
