Parameters,mefloquine,nitd609
EC50,0.00197409058550687,0.0264839507467494
H,9.66843449026742,4.30710536137358
Ucinf,10.0590514806903,0
chi2,4301.70844344893,2352.15547424662
good_of_fit,0,0
