Parameters,torin2,nanchangmycin
EC50,0.000276708551589511,0.00138199099975868
H,3.29489649087671,9.38165729241155
Ucinf,1.931803242563,7.54098064604667
chi2,108.348940278671,850.552148374262
good_of_fit,0,0
