Parameters,halofantrine,artesunate
EC50,0.00338289559410559,0.000838102225189544
H,3.71565869363399,3.5616656652222
Ucinf,0,0.391780355088872
chi2,166.852655583212,94.6997383326873
good_of_fit,0,0
