Parameters,alvespimycinhydrochloride,nvpbgt226
EC50,0.00572381750818148,0.587102571165954
H,9.99999999999488,9.99999999999999
Ucinf,55.6998122825057,0
chi2,61009.631191199,16815.0983844413
good_of_fit,0,0
