Parameters,monensinsodiumsalt,nitd609
EC50,0.00202813135530279,0.00136945463949485
H,10,4.02740912300992
Ucinf,18.1193577949384,10.8888656114745
chi2,19691.1080551549,2037.52674319466
good_of_fit,0,0
