Parameters,trichostatina,gramicidin
EC50,7.28861663795017e-05,0.0693396796824223
H,2.38632504515001,2.23963188008911
Ucinf,1.68957513140345,0
chi2,42.9213214618124,177.023372019408
good_of_fit,0,0
