Parameters,trichostatina,nitd609
EC50,0.0013190506656346,0.0438320715330577
H,7.43216461301306,2.5313357750447
Ucinf,3.86123817609654,4.81576964056677
chi2,408.414983174958,2330.23420737154
good_of_fit,0,0
