Parameters,methylrosanilinechloride,proguanil
EC50,0.0418767447641928,0.075
H,1.38658776323808,10
Ucinf,2.96692314550647,18.9999879582071
chi2,482.702640837977,1052.95963994948
good_of_fit,0,0
