Parameters,trifluoperazinehydrochloride,chloroquine
EC50,0.312817347549736,6.05021391759114
H,9.99999999999974,1.88037396357456
Ucinf,32.2822005595982,60.188018955556
chi2,28.7301490065546,46.2154836623516
good_of_fit,0,0
