drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value
0.0,RIF,0.0,TET,0.376,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.0081813790726448
0.0,RIF,0.0,TET,0.58399,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8929685593617166
0.0,RIF,0.0,TET,0.87997,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8160118233697363
0.0,RIF,0.0,TET,1.3599,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.7427537869760815
0.0,RIF,0.0,TET,2.1598,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.4679893552312924
0.0,RIF,0.0,TET,3.3596,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5314996674809493
0.0,RIF,0.0,TET,5.1991,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.31822661259099955
0.0,RIF,0.0,TET,8.0778,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.16975378782659445
0.0,RIF,0.0,TET,12.475,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,5.798222920460724e-10
0.0,RIF,0.0,TET,19.268,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0005380225823101387
0.0,RIF,0.0,TET,0.0,CHL,1.3466,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.1184023034279793
0.0,RIF,0.0,TET,0.0,CHL,2.6666,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,1.0013323237534175
0.0,RIF,0.0,TET,0.0,CHL,4.7998,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.7727650633073868
0.0,RIF,0.0,TET,0.0,CHL,9.0659,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8518592611886946
0.0,RIF,0.0,TET,0.0,CHL,17.064,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5705420026421562
0.0,RIF,0.0,TET,0.0,CHL,31.99,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5187163523738537
0.0,RIF,0.0,TET,0.0,CHL,59.964,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.2784056090278707
0.0,RIF,0.0,TET,0.0,CHL,112.94,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.11312967369930708
0.0,RIF,0.0,TET,0.0,CHL,212.61,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.01633376692855698
0.0,RIF,0.0,TET,0.0,CHL,399.99,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.03467565276076898
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,3.9999,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9701030728104726
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,5.9998,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9734796663774156
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,9.9993,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.8597226354316255
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,15.998,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.842982224680842
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,25.996,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.7143124730898848
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,41.588,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5671236218957596
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,67.17,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.2963532831029708
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,107.92,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.03128514906005246
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,174.2,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.011664762299733298
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,281.07,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0072141861273988216
0.0,RIF,0.0,TET,0.0,CHL,0.0,ERY,0.0,FUS,0.0053328,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9201767093932101
