drug0_conc,drug0_name,drug1_conc,drug1_name,drug2_conc,drug2_name,drug3_conc,drug3_name,drug4_conc,drug4_name,drug5_conc,drug5_name,drug6_conc,drug6_name,drug7_conc,drug7_name,drug8_conc,drug8_name,drug9_conc,drug9_name,sample,variable,value,bliss,num_drugs,loewe
6.8243,RIF,0.0,TET,19.268,CHL,0.0,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.008265311412666216,-0.0073181470999527575,2.0,-0.06686426271459116
1.7065,RIF,0.0,TET,0.0,CHL,1.3466,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9466198504025629,0.0015435312060277928,2.0,-0.13784666007831894
1.9731,RIF,0.0,TET,0.0,CHL,2.6666,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.9231888661115001,-0.03360402143165231,2.0,-0.21926300855763328
2.2931,RIF,0.0,TET,0.0,CHL,4.7998,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.5665406048344761,0.21697185912130312,2.0,0.02313022393087831
2.7196,RIF,0.0,TET,0.0,CHL,9.0659,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.3358887738697358,0.25181502637283104,2.0,0.03773845542037281
3.1462,RIF,0.0,TET,0.0,CHL,17.064,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.05739364493595067,0.30490645141644945,2.0,0.20274986867243813
3.6793,RIF,0.0,TET,0.0,CHL,31.99,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0070758331751796435,0.15567542793298692,2.0,0.33983918640907285
4.3191,RIF,0.0,TET,0.0,CHL,59.964,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.005596750218343835,0.04750355250129967,2.0,0.28131886942937506
5.0121,RIF,0.0,TET,0.0,CHL,112.94,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.0020656916185580257,0.01232746436711185,2.0,0.3030002063900834
5.8649,RIF,0.0,TET,0.0,CHL,212.61,ERY,0.0,FUS,0.0,CIP,0.0,FOX,0.0,SMX,0.0,TMP,0.0,PHL,EC,norm_gr_1,0.012857868612450713,-0.00958805306976828,2.0,-0.011197516684799161
