Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,29.7567114463806,57.1557387263627,57.2762735069625
SYN_SUM,0,37.6143972610708,53.4370432536792,59.8461707807187
SYN_SUM_WEIGHTED,0,14.8784402482384,21.1335830681391,26.4526155841213
SYN_SPREAD,0,1.12430615109204,0.966921659763284,1.02218806687371
SYN_AVERAGE_C1,0,0.00444420148423365,0.00446441594996256,0.00513125492113164
SYN_AVERAGE_C2,0,0.0524535387103363,0.0653933071908777,0.0764029020493206
ANT_MAX,0,-44.1701924013149,-41.5620400001588,-41.5620400001588
ANT_SUM,0,-18.9523088811052,-16.2071753443403,-15.9165785102607
ANT_SUM_WEIGHTED,0,-17.2350009370957,-14.8567131054696,-14.823949422775
ANT_SPREAD,0,0.655037883009145,0.624460880924947,0.618837224878268
ANT_AVERAGE_C1,0,0.00114651761337006,0.000978244142405861,0.000918699106155942
ANT_AVERAGE_C2,0,0.0299543097069023,0.0268144400587514,0.0258971598305146
SUM_SYN_ANT,0,18.6620883799656,37.229867909339,43.929592270458
SUM_SYN_ANT_WEIGHTED,0,-2.35656068885726,6.27686996266952,11.6286661613464
