BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,good,0.988038,79.63483,37.0,-424.49129,451616.03381,-22.64265,0.94329,0.93106,1.35671,-4.6864
2,1,good,0.981247,83.28743,31.0,47.52748,423874.50927,-22.96467,1.04898,1.02617,3.0402,-1.60139
3,1,good,0.911169,59.06763,48.0,-259.43627,290396.29111,-16.56991,0.9604,0.94136,0.31276,-1.82303
4,1,good,0.990817,52.48846,54.0,-514.18058,251600.64304,-26.56076,0.94834,0.93477,0.65407,-4.78904
5,1,good,0.963691,48.7676,60.0,-147.21352,220823.41433,-6.7756,0.97229,0.96685,0.40411,-1.30105
6,1,good,0.976952,17.48869,22.0,241.64873,400508.55283,-2.37308,1.0125,1.0125,3.17312,-0.75663
7,1,good,0.951762,80.38167,37.0,-158.72376,402336.49617,-22.03447,0.95232,0.95117,2.12401,-3.01888
8,1,good,0.917948,60.73184,38.0,199.65508,161007.44671,-0.50373,1.03097,1.02207,2.97881,-0.26538
9,1,good,0.864551,69.45562,32.0,129.27976,163648.67719,-3.92091,1.00864,1.00505,3.02902,-1.39356
10,1,good,0.963691,80.49452,60.0,-569.03305,98602.64084,-38.96692,0.87197,0.83897,0.54755,-4.42034
11,1,good,0.92843,23.81898,29.0,48.47447,64563.08951,-4.17077,1.05938,1.04419,1.74806,-0.15591
12,1,good,0.969052,52.20828,21.0,-39.42656,70318.97939,-5.44199,1.00173,0.97661,1.09176,-0.53789
13,1,good,0.952469,62.87757,62.0,-629.20556,260095.5054,-30.02198,0.95049,0.93757,0.19853,-5.30101
14,1,good,0.921676,54.31391,24.0,66.45101,347677.25171,-2.23686,1.00364,0.99856,1.76193,-0.53059
15,1,good,0.976352,64.5848,66.0,-532.64351,349744.62892,-29.51407,0.97014,0.94482,0.42691,-3.78394
16,1,good,0.960184,61.78507,64.0,-466.82951,228162.30115,-26.60813,1.01914,0.95356,1.28172,-3.39404
