BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
224,1,good,0.97423,90.73573,67.0,-1052.31652,189155.30309,-55.52721,0.77734,0.74898,0.12918,-9.26929
225,1,good,0.966344,71.86585,59.0,-640.56816,250425.60648,-36.32877,0.9585,0.91211,1.63907,-5.43937
226,1,good,0.93514,56.55255,42.0,-144.83508,217493.92898,-22.51601,1.12896,0.9811,4.71851,-2.01352
227,1,good,0.960184,58.8699,53.0,-489.85753,181739.60516,-36.71915,1.01599,0.89927,1.98556,-3.19441
228,1,medium,0.8113,26.70179,8.0,665.02893,336964.32079,1.30864,1.16113,1.08355,9.79813,-0.39254
229,1,good,0.92843,76.85041,48.0,-314.81994,73436.3205,-24.50913,0.92754,0.88818,0.3446,-2.30894
230,1,good,0.966233,44.88479,38.0,-246.94007,174723.961,-20.55274,0.95254,0.94202,0.84681,-2.67328
231,1,good,0.969052,55.37415,26.0,-100.82828,107582.50048,-9.32166,0.99839,0.96025,0.57153,-0.54638
232,1,good,0.950665,47.13692,28.0,-20.2313,115508.85515,-4.22897,0.98496,0.9708,1.08163,-0.61313
233,1,good,0.943451,31.8449,34.0,50.47059,86009.15261,-0.97748,1.04946,1.01445,1.73307,-0.15969
234,1,good,0.92843,51.69298,36.0,-209.74451,108289.70273,-11.5089,1.00297,0.91675,0.48197,-0.50738
235,1,good,0.950665,89.04237,27.0,-155.24976,113661.14088,-13.23113,0.9571,0.92988,0.2787,-1.2836
236,1,good,0.918796,48.35583,48.0,-285.51512,122971.53817,-16.47477,0.90515,0.86875,0.49343,-1.99265
237,1,good,0.961134,74.9168,54.0,-727.42934,488772.18529,-38.08046,0.98799,0.92297,2.39096,-6.25559
238,1,good,0.887687,43.90331,37.0,75.06531,368154.2744,-3.613,1.12993,1.02275,4.87608,-0.07255
239,1,good,0.932264,60.2914,48.0,-452.26049,349542.96824,-21.20091,1.04141,0.92383,1.91089,-2.47543
240,1,good,0.748997,53.88675,56.0,-170.2933,339550.86288,-9.86368,1.15483,1.004,4.42117,-1.11354
241,1,good,0.951762,65.74751,43.0,-165.91051,482526.35449,-7.14003,0.99503,0.98423,0.64272,-1.36639
242,1,good,0.992886,60.67823,63.0,-588.60161,425002.48074,-23.83081,0.96714,0.92876,0.86939,-3.38661
243,1,good,0.966233,65.97995,36.0,-284.27248,285570.7063,-18.14596,0.96564,0.95632,0.33637,-2.60638
244,1,good,0.894721,85.1232,41.0,-337.3003,272605.50877,-32.43841,0.94653,0.93787,0.18723,-3.10032
245,1,good,0.925913,61.24907,26.0,-153.79694,219220.34418,-10.19228,0.95802,0.94736,0.56888,-1.50984
246,1,good,0.796261,88.25377,13.0,231.63819,142090.44075,0.16659,1.10791,1.0812,3.38784,-0.32169
247,1,good,0.951551,77.41524,41.0,-143.81099,234993.6403,-14.87115,0.97412,0.95588,0.92842,-1.52229
248,1,good,0.934353,82.08707,52.0,-168.12899,242331.99501,-14.5452,0.98125,0.9687,0.73956,-1.78789
249,1,good,0.921858,72.75849,37.0,-151.11379,198610.52279,-11.03668,0.9814,0.96751,0.76961,-1.49033
250,1,good,0.827013,35.69869,47.0,30.55226,124477.97107,-4.31148,1.14873,1.00972,2.56272,-0.08495
251,1,good,0.811814,38.00424,30.0,59.88698,202013.25172,-4.13911,1.11572,1.01277,3.24808,-0.05967
252,1,good,0.890244,35.91653,56.0,-139.80098,200030.57223,-9.84592,1.16846,0.97815,4.10187,-0.10913
253,1,good,0.934353,56.38305,51.0,-175.21569,273145.56913,-10.23401,0.96813,0.95914,0.54279,-1.43702
254,1,good,0.966233,77.72135,79.0,-908.43471,271689.74868,-33.07981,0.83579,0.79077,0.39834,-6.49961
255,1,good,0.919891,44.85479,34.0,-134.46364,210358.2449,-10.4174,1.00172,0.94048,1.43627,-0.86108
256,1,good,0.933244,54.94915,56.0,-98.6109,294194.0914,-8.26516,1.04766,0.99924,2.0529,-0.74599
257,1,good,0.933244,55.61852,46.0,13.16955,362692.3455,-5.78826,0.99482,0.98455,2.32491,-1.33228
258,1,good,0.971045,68.85732,74.0,-787.28165,376425.74579,-26.80668,0.91284,0.8543,0.57935,-4.57206
259,1,good,0.890244,39.64411,59.0,-226.67405,247375.67456,-10.52253,1.03154,0.96143,1.28398,-0.87252
260,1,good,0.923617,67.07517,59.0,-185.35445,538627.1532,-8.92957,0.97728,0.96821,0.68309,-2.03209
261,1,good,0.938421,53.2382,32.0,-13.39071,352139.61803,-8.98839,1.10205,1.01575,3.39111,-0.52926
262,1,good,0.911586,34.04305,26.0,155.93603,381214.04514,-2.08549,1.14502,1.04605,4.31921,-0.09448
263,1,medium,0.847535,65.43296,22.0,314.10271,572297.44011,-2.77735,1.15918,1.06547,6.8216,-0.21349
264,1,good,0.938421,79.29738,40.0,-390.29053,453008.51611,-29.61639,1.08818,0.95562,3.80301,-3.68329
265,1,good,0.933244,75.13169,47.0,-148.70608,466748.82309,-21.61403,0.98711,0.9773,0.98123,-1.87508
266,1,good,0.921676,61.08835,40.0,-3.45325,351246.9032,-2.60946,1.00995,0.99941,0.98493,-0.33773
267,1,good,0.915429,44.52884,27.0,257.2631,260293.70733,-3.00147,1.03545,1.0241,3.76856,-0.62656
268,1,good,0.944165,65.23515,27.0,236.39164,369141.84562,-1.8046,1.15,1.07788,5.5092,-0.99988
269,1,good,0.934353,60.67098,38.0,501.91233,307667.10352,-2.13974,1.03735,1.02041,7.20241,-1.15073
270,1,good,0.805906,93.03965,19.0,90.12904,745976.6002,-7.47662,1.03579,1.02759,2.87761,-1.69406
271,1,good,0.833075,74.16079,33.0,137.39513,588442.4483,-6.62482,1.05588,1.02427,3.75266,-0.84288
272,1,medium,0.864189,12.55622,24.0,196.40304,647548.22177,-2.08273,1.06116,1.03607,3.86809,-0.89863
273,1,good,0.831372,99.33426,33.0,-29.72883,543792.89561,-4.58581,1.04497,1.02493,3.01781,-2.66213
274,1,medium,0.65982,60.22778,31.0,113.22174,368670.34654,-7.54693,1.18386,1.03381,4.72122,-0.48731
275,1,medium,0.869927,19.06835,27.0,94.90207,550798.46517,-6.57312,1.18662,1.03118,6.10394,-0.12043
276,1,medium,0.767777,38.41668,16.0,325.76629,589437.87335,-0.17515,1.14583,1.06384,6.40592,-0.23043
277,1,good,0.901648,29.98559,23.0,177.76413,488103.70909,-3.97304,1.03521,1.02968,2.74593,-0.6263
278,1,good,0.933244,55.45599,63.0,-207.33537,301954.21866,-15.80905,0.96704,0.95461,1.08288,-2.31693
279,1,good,0.933244,73.38835,63.0,-375.91168,318517.14194,-21.1498,0.95898,0.93735,0.42524,-2.97843
