BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,good,0.988038,94.39813,44.0,-454.53243,499181.02021,-29.41539,0.93765,0.93682,0.33566,-4.7842
2,1,good,0.964286,76.36705,41.0,606.1483,392124.5442,-1.47733,1.07129,1.06016,8.31226,-1.35598
3,1,good,0.911169,85.02393,46.0,-438.05619,309532.48982,-38.14572,0.90786,0.90332,0.03036,-4.12433
4,1,good,0.973654,67.41973,39.0,-340.74149,288318.13207,-21.17395,0.97603,0.96699,0.77539,-3.47267
5,1,good,0.99387,18.83008,37.0,87.28832,388359.62274,-5.07154,1.0019,0.99933,2.08067,-0.74603
6,1,good,0.959288,68.3999,24.0,76.60512,439106.38395,-3.94814,1.01108,1.01108,1.27803,-0.51198
7,1,good,0.991554,84.15093,24.0,-77.00488,490269.98428,-4.55937,0.99648,0.99487,1.12855,-1.53383
8,1,good,0.978898,33.91377,25.0,411.93615,219580.74662,-23.31757,1.04614,1.03472,7.41109,-2.30763
9,1,good,0.948964,16.98718,36.0,-350.01011,258875.27974,-30.9433,0.97764,0.97129,1.43029,-4.35138
10,1,good,0.965909,83.23679,70.0,-609.3425,128006.73046,-37.02452,0.88232,0.87048,0.40175,-5.18087
11,1,good,0.92843,46.97177,43.0,-83.48662,80629.7932,-4.79717,1.02473,0.99834,0.86877,-0.35736
12,1,good,0.958602,65.7586,20.0,-34.08409,75515.41685,-5.81523,1.00686,0.98508,0.84811,-0.38101
13,1,good,0.997605,60.04089,49.0,-468.63261,301870.06,-21.49225,0.96574,0.96231,0.16192,-4.33566
14,1,good,0.933244,31.85938,43.0,-18.67986,411025.1815,-3.50174,1.00175,0.99673,0.92921,-0.51729
15,1,good,0.97811,48.52916,50.0,-444.02424,428237.02341,-37.42336,0.96943,0.95715,0.59043,-4.03459
16,1,good,0.958165,51.22057,51.0,-698.87418,330445.14865,-43.73416,0.93413,0.91794,0.21509,-6.31184
17,1,good,0.935622,90.22431,30.0,-121.87861,268233.43726,-22.92334,1.00239,0.99548,1.69279,-2.37593
18,1,good,0.983213,38.66723,44.0,-262.46378,299914.96422,-6.88181,0.97549,0.97231,0.72369,-3.07341
19,1,good,0.849761,81.0473,24.0,74.40608,231213.28844,-0.9154,1.02524,1.0158,1.77862,-0.70946
20,1,good,0.864675,89.89422,25.0,41.02001,267958.1622,-4.53041,1.01577,1.0094,2.02713,-1.36936
21,1,good,0.973923,97.64917,34.0,-317.46482,301902.18326,-10.39503,0.97402,0.96841,1.53043,-4.27345
22,1,good,0.830829,99.49263,25.0,34.89549,243619.7505,-2.67788,1.00223,0.99868,1.61946,-1.09407
23,1,good,0.996383,33.89126,44.0,-251.16382,283214.09356,-5.69446,0.97026,0.96631,0.68747,-2.93472
24,1,good,0.997608,80.8599,25.0,-159.21332,290909.3394,-24.23118,0.99815,0.99258,1.54508,-2.49047
