Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,61.9762601347598,61.9762601347598,61.9762601347598
SYN_SUM,0,63.6456231890024,63.6456231890024,63.6456231890024
SYN_SUM_WEIGHTED,0,20.013968934181,20.013968934181,20.013968934181
SYN_SPREAD,0,1.01337827300217,1.01337827300217,1.01337827300217
SYN_AVERAGE_C1,0,0.00224601632169679,0.00224601632169679,0.00224601632169679
SYN_AVERAGE_C2,0,0.491855791760051,0.491855791760051,0.491855791760051
ANT_MAX,0,-106078.270017197,-106078.270017197,-106078.270017197
ANT_SUM,0,-9719.76013740842,-9719.76013740842,-9719.76013740842
ANT_SUM_WEIGHTED,0,-9596.49210262108,-9596.49210262108,-9596.49210262108
ANT_SPREAD,0,0.302701490624878,0.302701490624878,0.302701490624878
ANT_AVERAGE_C1,0,0.000779324708151795,0.000779324708151795,0.000779324708151795
ANT_AVERAGE_C2,0,0.158515769823013,0.158515769823013,0.158515769823013
SUM_SYN_ANT,0,-9656.11451421941,-9656.11451421941,-9656.11451421941
SUM_SYN_ANT_WEIGHTED,0,-9576.4781336869,-9576.4781336869,-9576.4781336869
