Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,62.1609294536507,62.1609294536507,62.1609294536507
SYN_SUM,0,46.2616307344401,46.2616307344401,46.2616307344401
SYN_SUM_WEIGHTED,0,13.0470161858785,13.0470161858785,13.0470161858785
SYN_SPREAD,0,0.862683951744095,0.862683951744095,0.862683951744095
SYN_AVERAGE_C1,0,0.0176244703011305,0.0176244703011305,0.0176244703011305
SYN_AVERAGE_C2,0,0.740512696645511,0.740512696645511,0.740512696645511
ANT_MAX,0,-151.128160663467,-151.128160663467,-151.128160663467
ANT_SUM,0,-206.004956229443,-206.004956229443,-206.004956229443
ANT_SUM_WEIGHTED,0,-203.025012022924,-203.025012022924,-203.025012022924
ANT_SPREAD,0,1.16752485855513,1.16752485855513,1.16752485855513
ANT_AVERAGE_C1,0,0.00122141643436484,0.00122141643436484,0.00122141643436484
ANT_AVERAGE_C2,0,0.46547938097943,0.46547938097943,0.46547938097943
SUM_SYN_ANT,0,-159.743325495003,-159.743325495003,-159.743325495003
SUM_SYN_ANT_WEIGHTED,0,-189.977995837045,-189.977995837045,-189.977995837045
