Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,21.402134848186,22.3201868858546,22.3203361277371
SYN_SUM,0,16.0880502143714,20.1268682311869,28.0599674344003
SYN_SUM_WEIGHTED,0,13.9985546616447,15.3646741487905,20.6996240222214
SYN_SPREAD,0,0.867008107262527,0.949596681739003,1.12122614478296
SYN_AVERAGE_C1,0,0.000643419757982655,0.000621604289745962,0.000992334583954158
SYN_AVERAGE_C2,0,0.00146041010646521,0.000949858454032016,0.00082248685256526
ANT_MAX,0,-37.3843008320407,-33.4930928624691,-33.4850105747346
ANT_SUM,0,-39.8214991245954,-30.989208978175,-26.3367882275342
ANT_SUM_WEIGHTED,0,-32.7080677885797,-24.9503515416243,-22.4546997350408
ANT_SPREAD,0,1.03208192283953,0.961894892176237,0.88686228349016
ANT_AVERAGE_C1,0,0.000662844597955541,0.000625759488922928,0.000464908516728019
ANT_AVERAGE_C2,0,0.000171046758459122,0.000179880719732146,0.000175675946888088
SUM_SYN_ANT,0,-23.733448910224,-10.8623407469881,1.72317920686613
SUM_SYN_ANT_WEIGHTED,0,-18.709513126935,-9.58567739283383,-1.75507571281939
