,beta,beta_ci,beta_obs,beta_obs_ci,bliss_fit_all,bliss_fit_ec50,bliss_fit_mxd1d2,bliss_raw_all,brd_C1,brd_C2,brd_delta,brd_E0,brd_E1,brd_E2,brd_E3,brd_h1,brd_h2,brd_kappa,brd_loglike,brd_R2,ci_C1,ci_C2,ci_h1,ci_h2,ci_raw_mean,converge_mc_nlls,converge_percnt_mc_nlls,drug1_name,drug1_units,drug2_name,drug2_units,drugunique,E0,E0_ci,E1,E1_ci,E1_obs,E1_obs_ci,E2,E2_ci,E2_obs,E2_obs_ci,E3,E3_ci,E3_obs,E3_obs_ci,expt,expt_date,fit_method,h1,h2,hsa_fit_all,hsa_fit_ec50,hsa_fit_mxd1d2,hsa_raw_all,init_rndm_seed,loewe_fit_all,loewe_fit_ec10,loewe_fit_ec25,loewe_fit_ec50,loewe_fit_mxd1d2,loewe_fit_perUnd,log_alpha1,log_alpha1_ci,log_alpha2,log_alpha2_ci,log_C1,log_C1_ci,log_C2,log_C2_ci,log_h1,log_h1_ci,log_h2,log_h2_ci,log_like_mc_nlls,max_conc_d1,max_conc_d2,metric_name,min_conc_d1,min_conc_d2,num_parms_fit,R2,sample,schindler_fit_all,schindler_fit_ec50,schindler_fit_mxd1d2,time,zimmer_C1,zimmer_C2,zimmer_h1,zimmer_h2,zimmer_loglike,zimmer_R2,zimmer_raw_a1,zimmer_raw_a2,zip_raw
0,-0.09106723916731015,"[-0.09708446074116583, 0.13553977239034157]",0.09377962647132093,"[0.060560445643334807, 0.18760308444706406]",769925.4034177107,3095.7190439632654,10341.73963096421,1.3899723976503582,1.8363809565082199,2.53091831846409,1.98195780472435,1.03044955366615,0.144445690683316,0.0598097847066584,0.0598097847066584,6.0093631860429095,3.50916010635041,-0.50481261901615,-34712.1529841018,0.9700951979059518,1.3278613887551918,2.1833109308244967,0.9423979935962645,1.667787201666957,6.113678541925555,1,1.0,ivermectin,uM,clobetasonebutyrate,uM,ivermectin_clobetasonebutyrate_PLASMODIUM_FALCIPARUM_HB3,103.27181574166133,"[101.24655040503016, 104.87548855996032]",17.0041444797029,"[11.102207676871371, 24.139874607172885]",17.458380413184823,"[15.510809187165354, 24.33309750885587]",1.2172288381960847e-30,"[8.475570951020734e-34, 20.047042520316847]",19.92613903607559,"[18.7694113595517, 27.087698334426154]",9.404679143388258,"[4.277025062221993, 12.413678454151379]",9.410828501859442,"[8.454657741803354, 12.414988771051442]",data/Ivermectin_Clobetasonebutyrate_HB3_0.csv,[20],mcnlls,5.0507346044324315,2.8753165018270663,427.6477274507158,42.075751301067534,11.390603743951118,,1558790891,-3.3463732855950767,0.23406748086293994,,,,0.16,0.8682441961358459,"[0.6954665436105223, 1.0509391049533472]",0.7743305904936968,"[0.6634089605327393, 0.8740043378682]",0.24828827597495365,"[0.19901387569011886, 0.2921660723539684]",0.48283382580347994,"[0.41038624475161584, 0.5069726241384496]",0.703354548702672,"[0.6137344512562939, 0.858628780263767]",0.4586856568279163,"[0.40603553649321955, 0.6412816450475326]",34008.82245832243,5.0,5.0,Percent Effect,0.019531299999999998,0.019531299999999998,10,0.9710834777050112,PLASMODIUM_FALCIPARUM_HB3,116.26508355589232,4.6526047392780185,2058.540767567339,0.5529254992802938,2.119888764189027,3.173537549225515,3.3738387283896625,2.7093668417382912,63394.72557698301,0.9457394244925637,-0.9472820655655059,-0.9982593745028345,-0.0034985868758029602
0,-0.1269926858598649,"[-0.13025717513024487, 0.24712073398568263]",0.19319200009098614,"[0.16789508990168558, 0.2701004898939482]",510265.6872523665,3811.5839958224747,,358686.94997376547,0.0371073218089375,0.43718163736741206,0.973049923168864,1.1479447698716299,0.275038772595338,0.0708348451292995,-0.0725722995503919,1.62060778547326,1.5116697914631798,0.717999243780289,-32244.861520841998,0.939342868817157,0.1581407136643993,0.40588831176424534,0.39192450291977954,4.462653468456917,1.7659544352827905,1,1.0,clindamycin,uM,chloroquine,uM,clindamycin_chloroquine_PLASMODIUM_FALCIPARUM_DD2,109.99999999999999,"[104.16964056502003, 109.99999999999999]",29.50442919498762,"[26.860261040906042, 32.785217744520224]",29.56169886216054,"[28.18691844897352, 32.82326434313944]",7.74875934308634e-20,"[2.9391096842397475e-33, 60.93976923507833]",63.0372152977259,"[59.23078885521883, 76.9886431090103]",13.969195444585138,"[10.398757843590632, 17.275660982684116]",14.02166258142029,"[13.282058945401229, 17.28421444499393]",data/Clindamycin_Chloroquine_Dd2_0.csv,[3],mcnlls,1.4700083039744927,1.6642646772615504,871.2711050292199,30.21219296031571,,,1558790891,inf,-0.01682101517274541,0.08787624509740295,,-1.0369080136806945,0.51,1.5529303433301378,"[1.0491118429650301, 1.8617668489189718]",0.438720858697991,"[0.016373028192718405, 0.7149614889451005]",-1.4422003700074222,"[-1.4944153948022176, -1.365027318824962]",-0.3491521173654145,"[-0.708799273984522, -0.20882761777750838]",0.16731978805437608,"[0.10514846244433815, 0.2730191022389231]",0.22122239571269334,"[0.09414645610467953, 0.47422801486311233]",28445.45032817717,5.0,0.375,Percent Effect,0.019531299999999998,0.0014648000000000007,10,0.9472035038961986,PLASMODIUM_FALCIPARUM_DD2,702.6897157628767,13.997701011768683,-845.7955207029886,0.6365854144096375,0.09296916514461705,0.5561999779223625,0.4827946884960644,1.3294651306531362,101100.7734947717,0.8117346556601364,-1.1758464335757604,-0.6822866331517193,
0,-0.0152037188494405,"[-0.06606477918392736, 0.014355820704576989]",-0.014555135218851066,"[-0.03352633207038769, 0.0191380208303927]",490413.94766074227,2564.849738660892,,6.816787539972605,,,,,,,,,,,,,1.4371624744068248,,1.7276711227386856,,,1,1.0,kn62,uM,artenimol,uM,kn62_artenimol_PLASMODIUM_FALCIPARUM_DD2,101.37369900392781,"[99.36939865812063, 104.26579080724883]",4.3396983038576055e-24,"[3.413552310346574e-33, 15.949500429570453]",15.040593862233834,"[15.091291775286075, 21.871681249272807]",2.570764914409427e-11,"[7.520726976929393e-36, 1.8443947408343402]",0.04996381443353835,"[0.03784545492426286, 1.8899383909748797]",1.541257218383525,"[2.3526662367540124e-15, 50.15227983693603]",1.5247444809956856,"[1.0545295724807315, 8.147490281861145]",data/KN62_Artenimol_Dd2_0.csv,[182],mcnlls,1.6807854222171967,3.2116815301859214,356.6213628250037,46.37987572746589,,,1558790890,-3.9470110534095992,0.019446623941325028,0.1581207017386163,0.2709918113815679,,0.01,0.4663696415372684,"[0.39738110242828373, 0.5399691975629601]",0.7139150604181108,"[-3.9996532343030706, 3.9999999999895812]",0.24744753920530813,"[0.13682006587468626, 0.29678928748170974]",-2.631755985042658,"[-2.631755985042658, -2.604989919297261]",0.2255122726927052,"[0.16915301335314256, 0.3572219876365876]",0.5067324741720035,"[0.5067324741720035, 0.5899368384917594]",32875.65359896569,5.0,0.025,Percent Effect,0.01953125,9.7625e-05,10,0.9770374652086167,PLASMODIUM_FALCIPARUM_DD2,56.825351397593124,11.410088235044867,0.0,0.6560803333918254,1.9554734574803523,0.002250393070206745,1.7772859024737877,2.907854758813612,31371.154609132256,0.977765660946667,-1.0477376305514492,-0.4695850416971201,-0.0557293694659134
0,-0.10903098772104357,"[-0.11620963588824655, 0.10942351680147232]",-0.08085182500278297,"[-0.08653767863932978, 0.1096797822676063]",715638.8979437641,4403.802245825837,,,1.36651698817913,0.008660836074590979,1.75836030016931,1.31428984307098,-0.31475199102159,0.49928567435313104,-0.31475199102159,0.919120662165864,2.7365839002424197,-0.420639721778669,-146925.39076902438,0.8322887006238578,,0.03467238186095665,,1.1154807578350017,,1,1.0,reserpine,uM,artesunate,uM,reserpine_artesunate_PLASMODIUM_FALCIPARUM_3D7,109.99999999999999,"[99.94161550113958, 109.99999999999999]",2.9529498669602194e-39,"[1.1051172813594334e-32, 16.786290549723034]",3.3945845059839286,"[2.5268949740150757, 16.926283647878623]",50.597335709659475,"[34.48313504199562, 68.34309651822336]",50.59733570965947,"[44.16385083416471, 68.34309651822338]",11.993408649314791,"[2.1315880410012693, 20.444789054971338]",12.013826903855083,"[7.933225927699082, 20.44490991911396]",data/Reserpine_Artesunate_3D7_0.csv,[136],mcnlls,1.9096647713748243,37.26427612243463,758.3225401927049,42.37551381020222,,,1558790891,-0.8216926471841449,,,,,0.57,0.33742849846184747,"[0.1853904214177638, 0.4619847850623717]",0.9317815831652123,"[0.4138972123506534, 1.3526670029872112]",0.0911578972218221,"[-0.013298163615062487, 0.18154997331263645]",-1.9020427030211655,"[-2.0529739760661023, -1.787668515995564]",0.2809571365043625,"[0.20468451993874018, 0.5354618403563384]",1.5712926892564438,"[1.5594236496966982, 1.6941032737849098]",133636.67299830372,7.5,0.05,Percent Effect,0.029296875,0.000195375,10,0.847802201603653,PLASMODIUM_FALCIPARUM_3D7,520.9331796293562,12.674289218411317,0.0,0.6940470337867737,1.57059089177784,0.015290109607832784,2.6500952942673486,1.1372141192679566,195265.41964371505,0.7772480507974509,-0.36005806668953494,-1.1340106752076473,
0,0.08310988696826228,"[0.05276809445956086, 0.1423579325045398]",0.08368663002645148,"[0.05480712366101336, 0.1424778393968406]",528212.6189684632,3545.8383440528637,,,0.000514043088574857,0.0126876709048655,1.57844227659641,1.0626587702052601,0.0925275431266511,0.107722583593996,0.0202002108696821,3.07359878148216,5.96748157157413,-0.583951736364575,-32833.16088345482,0.9637833047761128,0.0012770282499656922,0.010409985517769296,1.7086178760825554,1.4364550643102962,2.0464278020616935,1,1.0,torin2,uM,artesunate,uM,torin2_artesunate_PLASMODIUM_FALCIPARUM_HB3,106.997986833839,"[102.41158836156156, 109.99999999999999]",11.889379687801053,"[7.179301830864428, 16.144586217636967]",11.942464414200414,"[10.462558828377375, 16.148833518552806]",12.50526548321097,"[5.654044188810427, 21.15039052720784]",12.951191747092981,"[11.079746339174276, 21.43835851589304]",3.9849140981849773,"[2.4674511413599944e-27, 7.578968012140251]",3.9875880774970565,"[1.9248546920510294, 7.57905193744457]",data/Torin2_Artesunate_HB3_0.csv,[93],mcnlls,2.627411338664121,4.082444994283192,434.80266917038534,53.42528762739596,,2.54276969,1558790891,-1.92194261468242,0.028972133551838454,0.2554910571948142,,,0.38,0.2827870488425884,"[-0.299929042300756, 0.40458314128094885]",0.800426096912393,"[0.6080737981887877, 1.0613073010932412]",-3.2381037266017025,"[-3.2678424967210575, -3.201872314715294]",-1.8703165265698793,"[-1.914159358435051, -1.8169105168366728]",0.41952806978930135,"[0.35690627515237433, 0.5418613747116445]",0.6109203418863012,"[0.5460349444345539, 0.7243499627327431]",31423.709012644602,0.01,0.05,Percent Effect,3.9125e-05,0.000195375,10,0.965739418103983,PLASMODIUM_FALCIPARUM_HB3,128.6261811997835,14.619626556341558,0.0,0.7071614861488342,4.156199640622877e-06,0.016205632721876258,0.2002795159191235,3.5309996903751375,496264.8605205891,0.4591170989355565,298.0342792427845,-1.0004155880315277,
0,-0.05763754359804609,"[-0.06314226943486617, 0.10517354884477681]",0.0371364553512796,"[-0.008960256539283971, 0.1519312201204765]",614204.1186930627,2622.0121966627107,,3.658794061237659,0.0449519118562174,0.0194368063341916,1.99587405661506,0.979537564895356,0.0887790090652826,0.139645338651086,0.0326448068352107,3.4035971921100097,2.52279923909381,-0.40336135620445795,-100899.89265106886,0.9123851812275102,0.053157138717201555,0.029542394209521667,2.039240006167393,0.9391525984474677,49.47577312808095,1,1.0,genz669178,uM,ml238,uM,genz669178_ml238_PLASMODIUM_FALCIPARUM_DD2,98.8047800237589,"[95.41755343672574, 102.31953349011538]",7.641374845630203,"[1.1673739524769104, 12.560307905980418]",9.131280345802082,"[6.285639745159249, 13.954347020965892]",1.1976882145557714e-17,"[3.481811503572051e-36, 27.68899226146322]",21.475551923868736,"[19.68002568557316, 33.53105134802482]",5.694864816314757,"[1.1212668475487007e-18, 16.398978908317925]",5.801124428818653,"[3.290953403249314, 12.538808279113857]",data/Genz669178_ML238_Dd2_0.csv,[174],mcnlls,2.919186834255514,1.6838303075812795,457.4878561783763,42.067357613350026,,,1558790891,inf,0.14459244832066653,0.2848822882157768,,,0.08,0.4965610024743245,"[-0.6093686991764247, 1.2830054579893961]",0.6873779401412096,"[0.35192657311012127, 0.879193176840748]",-1.3665513667505451,"[-1.4066784824948209, -1.3292178988712577]",-1.6314667020882248,"[-1.8816113980956113, -1.5600643709876505]",0.46526189166137594,"[0.3057787810663612, 0.46526189166137594]",0.22629832220257098,"[0.16331728954275804, 0.5149463422878711]",101095.79197249949,0.17500000000000002,0.05,Percent Effect,0.0006836250000000001,0.000195375,10,0.9126138129814335,PLASMODIUM_FALCIPARUM_DD2,170.5324260553341,12.503938484905163,0.0,0.7487118164698283,0.04660413236213713,0.023155236921443483,2.1345518622351194,1.5827193925674305,108607.59285761016,0.9057256681420475,-0.9230332604046417,-0.8100615632064508,0.00429041942843752
0,-0.026167748251863857,"[-0.03440538938025572, 0.03065544771995043]",-0.01813034865369883,"[-0.022659114027521146, 0.04951593488845863]",601585.1984908213,2763.927094960724,,5.946085142022377,0.0417772153597579,0.0214928884668134,0.796762893960456,1.01934980026837,0.089479383279273,0.0268192279800602,-0.004619951793953379,3.2920885572067404,4.6312257983407,0.23752454968917702,-15926.855949531593,0.9885553077276149,0.05472399840379038,0.021150897153124442,2.226754074735886,2.746379955200956,0.9608013618858607,1,1.0,genz669178,uM,methyleneblue,uM,genz669178_methyleneblue_PLASMODIUM_FALCIPARUM_DD2,102.35690984868755,"[101.06816320589756, 103.55144504245315]",5.830159628368254,"[1.0582482087119884, 7.848404992084292]",7.705735677937823,"[6.32867865878489, 9.595616448905773]",3.0293650075648683e-19,"[2.7568541905431983e-36, 7.605091315472171]",0.8386794035960616,"[0.9066537343173882, 8.332620111210497]",2.67844984875918,"[0.0001330401376156345, 14.401105224434726]",2.6792403162721135,"[1.9422614538893588, 5.308033814282634]",data/Genz669178_Methyleneblue_Dd2_0.csv,[170],mcnlls,2.694748158236753,3.8042184197380005,255.06875764678745,46.68202057089371,,,1558790891,-3.3545985779498237,-0.018113490665599155,0.10816265973098717,,,0.2,0.45418937918338553,"[0.36957143401863907, 0.5134287419733937]",3.819866784298788,"[-3.5187128335230042, 3.9999999999999996]",-1.3889287354222706,"[-1.3942964349434546, -1.353132906275396]",-1.6724751373873403,"[-1.7012333429911026, -1.6465386523465162]",0.43051818377182466,"[0.3889280577970534, 0.4324924737272901]",0.5802654440602616,"[0.5277826409669283, 0.6666919097200625]",14089.972252801672,0.17500000000000002,0.075,Percent Effect,0.0006836250000000001,0.000293,10,0.9901554113641681,PLASMODIUM_FALCIPARUM_DD2,-70.15156868149427,7.88005966315805,0.0,0.7480756839116415,0.04826307029483919,0.021873708693773173,2.4864876735574226,4.0603546343620645,16927.165619323652,0.9878586077006523,-1.040222320671842,-0.48061771829139416,-0.0406418086375795
0,-0.019918232392912037,"[-0.028279489473950526, 0.0223077920040973]",-0.012912177151883605,"[-0.020136277109199716, 0.041362085698943375]",492678.2624049619,2511.4566930814867,,-2.3780336245373213,0.00432724102033912,0.009632365584447841,0.711244642303557,0.9999747942304459,0.0202544522923336,0.00206857608821001,-0.0179831279922452,1.3984667920711202,2.88522918138916,-0.251459549528508,-8753.792521627318,0.9917396951855002,0.004295728520805983,,1.2699851395050863,,,1,1.0,atovaquone,uM,lumefantrine,uM,atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,99.9981530556246,"[98.20261631071062, 101.05241272420709]",1.6564977561535863,"[1.2830993088321729e-24, 6.062841971739742]",10.03168871461016,"[9.437518856817046, 12.172520579743345]",7.728335784643459e-21,"[6.7736157793391845e-37, 4.911763929070113]",0.8292668573296433,"[0.73931439415272, 5.537613835059084]",1.9917864514239179,"[3.127951660023407e-13, 4.807607073541883]",2.109753083877013,"[1.64710882417772, 4.844993607016786]",data/Atovaquone_Lumefantrine_Dd2_0.csv,[211],mcnlls,1.3672453905105102,2.900934989378545,87.15995627761086,20.13643693623183,,,1558790891,-5.6334807072286495,-0.13865957700172332,-0.12798578487467416,-0.09991488237857798,,0.03,-0.10372366492529,"[-0.32753535176838056, 0.019208707700778198]",1.5715763260592492,"[-0.43644052366634123, 3.9999999999999996]",-2.356193771818569,"[-2.3964540135639316, -2.3218667716393937]",-2.0172408499345758,"[-2.037196380980312, -2.0001675944631487]",0.13584646788194837,"[0.12415257015373941, 0.18057723718483254]",0.4625379962723218,"[0.4327636465683236, 0.5206000293962303]",8959.527606649952,0.025,0.05,Percent Effect,9.7625e-05,0.000195375,10,0.9919669951945338,PLASMODIUM_FALCIPARUM_DD2,-190.39676662233214,-10.634163519899545,0.0,0.7539909323056538,0.004671216279112851,0.009509574306281071,1.3239588500352388,2.8663886592762196,8660.335594501152,0.9918230714283989,-0.3385002043688677,0.5051095972262124,-0.109679767270757
0,-1.3941477499787454,"[-1.404001010489265, 0.03705419671671474]",0.008896447511512078,"[0.003976480373668708, 0.013590692420213608]",765309.3614827201,4528.309659020944,,5.95577093708033,10.6998620369679,0.00671477301440092,0.6937949462910141,1.04287178788309,0.17661000971242896,0.000799099300637865,-0.18409333955965101,1.5363396295207399,3.1875053496639403,0.46760898357056296,-34411.50166406981,0.9706173407252334,,0.005321090708538222,,2.6128873587556964,,1,1.0,lomerizinedihydrochloride,uM,lumefantrine,uM,lomerizinedihydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,102.52084875774136,"[101.04087597184125, 104.32121745799675]",75.51191645450281,"[47.045895712967244, 80.71033503739606]",81.5884814996047,"[79.30652501810097, 87.69683301830814]",2.013378391938589e-24,"[6.735650891812943e-29, 7.6007343729297885]",1.5685223137167568,"[1.3032225883518027, 7.7222572099539395]",142.92921062151638,"[0.970440382718164, 199.0]",0.6704052403424592,"[0.5961218839475868, 7.623586646107784]",data/Lomerizinedihydrochloride_Lumefantrine_HB3_0.csv,[68],mcnlls,27.58195834449568,3.0165340501240268,47.92236784126369,16.552534338075063,,,1558790891,inf,-0.2600336718094263,,,,0.31,0.10882345986097225,"[-0.019155585840156916, 0.2328130122764816]",-3.2720508356604143,"[-3.997540403544181, -3.2720508356604143]",0.6794949479221876,"[0.6141719555719433, 0.7447173672902737]",-2.201630757087593,"[-2.2364873735865736, -2.183755629876252]",1.4406250982435418,"[0.47951199910353465, 1.4938821207516009]",0.47950823192244196,"[0.4362484903136865, 0.6152046656644684]",45382.035387283104,5.0,0.025,Percent Effect,0.019531299999999998,9.77e-05,10,0.9617730931547014,PLASMODIUM_FALCIPARUM_HB3,-55.72408928633344,3.0496743762001444,0.0,0.8262718637784322,12.048559291566555,0.0067698606747195866,1.8228154000628094,3.37062881477414,41319.79115181964,0.9648039700869415,-0.8013622120071263,-0.43813203587754407,0.0034627548634254103
0,0.012817819260296097,"[-8.840107583555629e-14, 0.12726437099017893]",0.03488550729476782,"[0.00865836759536305, 0.14932306790790079]",513618.59698675363,3566.8866757179035,,,0.0010762399987360699,0.014945740426287,2.2055956172176296,1.06885308295491,0.0418664884653489,0.22461203589960502,0.0168106832654763,1.53649764024207,5.67020092813321,-0.463747841199923,-135073.77346329959,0.8458573177677282,0.0017200149128879124,0.024038740822978313,1.3715293645503435,2.526173002879205,1.4568741421602698,1,1.0,atovaquone,uM,lumefantrine,uM,atovaquone_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,109.99999999999999,"[92.62944970276087, 109.99999999999999]",2.3189273143382385,"[2.5496408319118943e-27, 15.805772439914643]",4.813664436100998,"[3.09470008550873, 15.997428527960166]",17.29072318077172,"[1.2586913846145387e-05, 38.73861037387207]",17.95017032614667,"[12.75311970906467, 40.77630004165301]",0.9386907868986194,"[7.191255675091957e-38, 9.268398990375042]",1.1441857594767044,"[0.31352207774034946, 9.268398839803298]",data/Atovaquone_Lumefantrine_HB3_0.csv,[211],mcnlls,1.2347146824087571,4.218455331712634,671.3103066446586,48.75676819241116,,2.398019000000001,1558790891,inf,0.19702223822540185,,,,0.45,0.49972280306904926,"[0.2851817828192091, 0.7301243000463595]",0.2193209499519384,"[-1.5281774311355871, 1.3943356401336267]",-2.9181004979775387,"[-3.059724066378748, -2.7745952108275604]",-1.8094727378438586,"[-1.9238822854796034, -1.6093052343029475]",0.09156661251784982,"[0.018761912068874852, 0.3460523846783545]",0.6251534548196795,"[0.5067309061340899, 1.6099911638715014]",140452.52829767516,0.025,0.05,Percent Effect,9.7625e-05,0.000195375,10,0.8401894105894898,PLASMODIUM_FALCIPARUM_HB3,421.7449750519012,15.553052482296877,0.0,0.8302094181378682,0.0012939787333295831,0.00019216445367274267,2.347292850812867,0.10785777160831408,523869.8711418612,0.40359595694855877,1.355562678194933,-1.0522735792222409,
