Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,13.9327863074614,41.1459044261929,48.0250605943648
SYN_SUM,0,2.36164254962083,14.5074414766968,16.6140089842121
SYN_SUM_WEIGHTED,0,0.895162735644425,4.73752173442289,6.11349757459757
SYN_SPREAD,0,0.411706851382659,0.593788944177488,0.58817052883719
SYN_AVERAGE_C1,0,0.0052340277328876,0.00990455902893523,0.010675065197368
SYN_AVERAGE_C2,0,0.00287035315571039,0.00717339543483016,0.00826019315526465
ANT_MAX,0,-31.7296425508962,-16.7775584791802,-16.7775584056352
ANT_SUM,0,-28.6101459439129,-13.1814258531078,-12.9023085280432
ANT_SUM_WEIGHTED,0,-24.7169610380683,-11.8252421833545,-11.800986455243
ANT_SPREAD,0,0.949571008858699,0.886373605029266,0.876938892771954
ANT_AVERAGE_C1,0,0.00249861556137409,0.000989853029746209,0.000920807421183151
ANT_AVERAGE_C2,0,0.00549524346894087,0.00272055839969438,0.00257431216019124
SUM_SYN_ANT,0,-26.2485033942921,1.326015623589,3.71170045616891
SUM_SYN_ANT_WEIGHTED,0,-23.8217983024239,-7.08772044893161,-5.68748888064542
