Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,18.9366380442691,31.2748204208922,33.9086595163686
SYN_SUM,0,18.698900212223,29.3873923210939,36.2667389935935
SYN_SUM_WEIGHTED,0,13.5616327117404,15.4448700350344,20.6549757371237
SYN_SPREAD,0,0.993702981611533,0.969355576564951,1.03418668650502
SYN_AVERAGE_C1,0,0.0214748485071567,0.0168578063333517,0.0198530018036575
SYN_AVERAGE_C2,0,0.00171465800951311,0.000954374132176285,0.00109542034543758
ANT_MAX,0,-162.654391363065,-161.957684258695,-161.957682327149
ANT_SUM,0,-131.434835070612,-122.753936036663,-122.019311635904
ANT_SUM_WEIGHTED,0,-120.818054425267,-114.191541499529,-114.005102413279
ANT_SPREAD,0,0.8989226963421,0.870596534378275,0.867987575555094
ANT_AVERAGE_C1,0,0.0186334611230289,0.0191949099044424,0.0191388548975747
ANT_AVERAGE_C2,0,0.000101273588706859,9.17883566603152e-05,9.00128047265765e-05
SUM_SYN_ANT,0,-112.735934858389,-93.3665437155689,-85.7525726423104
SUM_SYN_ANT_WEIGHTED,0,-107.256421713527,-98.7466714644948,-93.3501266761554
