Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,9.95625906553665,23.3134121622765,34.0442720491543
SYN_SUM,0,15.070128919784,25.6019873672254,39.2541869274511
SYN_SUM_WEIGHTED,0,10.6359649247113,14.3692808152829,23.6664945519823
SYN_SPREAD,0,1.23029820250285,1.04793396967736,1.07379398520687
SYN_AVERAGE_C1,0,0.00087824910180763,0.000548071444382998,0.000591500160079409
SYN_AVERAGE_C2,0,0.287167268822495,0.259604247590641,0.361510262997984
ANT_MAX,0,-13.6614024958139,-12.4280553787952,-12.4280553787952
ANT_SUM,0,-5.52701770860624,-2.39708221429567,-2.21901126094946
ANT_SUM_WEIGHTED,0,-4.59456219453147,-2.03262644014317,-1.94212113106138
ANT_SPREAD,0,0.636059560228576,0.439177290384544,0.422550055610899
ANT_AVERAGE_C1,0,0.000173052378188427,0.000184739798170655,0.000170640756189466
ANT_AVERAGE_C2,0,0.110767621586717,0.0746623039363898,0.0646691983736132
SUM_SYN_ANT,0,9.5431112111778,23.2049051529297,37.0351756665016
SUM_SYN_ANT_WEIGHTED,0,6.04140273017983,12.3366543751397,21.7243734209209
