Metrics,SANE,LOEWE,BLISS,HSA
SYN_MAX,0,3.12815907395974,5.40017051082685,20.409738930264
SYN_SUM,0,2.26138593205689,3.04449886913232,5.75484664633632
SYN_SUM_WEIGHTED,0,1.98123461455628,1.54855730436089,2.94369691870666
SYN_SPREAD,0,0.850242731904001,0.750851706376608,0.53100444045139
SYN_AVERAGE_C1,0,0.00775762964401973,0.00294965549645654,0.00306076456413948
SYN_AVERAGE_C2,0,0.0390745260893042,0.0229901327839481,0.0441657653732985
ANT_MAX,0,-52.8453934965885,-10.7753098213429,-10.7417001885464
ANT_SUM,0,-35.3146958528879,-9.0579904556451,-8.1690040855605
ANT_SUM_WEIGHTED,0,-28.5088226216053,-6.55034885507622,-6.33926909090951
ANT_SPREAD,0,0.817474411083,0.91685582023574,0.872063366945237
ANT_AVERAGE_C1,0,0.00101667678790958,0.000936913365498014,0.000837859023889293
ANT_AVERAGE_C2,0,0.0281344766329093,0.0133971709912541,0.0102905263960361
SUM_SYN_ANT,0,-33.053309920831,-6.01349158651278,-2.41415743922418
SUM_SYN_ANT_WEIGHTED,0,-26.5275880070491,-5.00179155071533,-3.39557217220286
